,Authority,Composure,Conceptualization,Drama,Electrochemistry,Empathy,Encyclopedia,Endurance,Esprit de Corps,Half Light,Hand/Eye Coordination,Inland Empire,Interfacing,Logic,Pain Threshold,Physical Instrument,Reaction Speed,Rhetoric,Savoir Faire,Shivers,Suggestion,Visual Calculus,Volition
Authority,10,4,3,2,2,5,1,2,9,0,0,5,2,2,1,5,1,0,0,1,2,2,8
Composure,0,16,3,0,2,13,3,2,2,3,2,1,1,2,2,7,2,2,3,1,7,2,3
Conceptualization,3,2,21,4,5,1,10,2,2,1,0,11,4,7,1,1,2,5,5,4,4,5,3
Drama,0,7,3,32,3,4,3,2,2,1,0,1,1,2,0,2,4,5,0,0,3,0,4
Electrochemistry,4,4,6,3,44,1,2,5,3,1,0,6,2,3,4,8,6,4,0,3,3,3,6
Empathy,8,11,7,10,4,52,5,7,11,3,0,5,1,8,6,2,5,9,2,2,11,4,13
Encyclopedia,4,0,5,0,2,0,49,2,5,0,1,2,0,4,0,1,4,2,0,3,1,3,2
Endurance,1,2,5,0,2,2,8,36,0,4,1,4,3,1,5,8,2,6,4,1,2,5,3
Esprit de Corps,6,1,2,2,1,4,2,3,65,0,2,2,1,1,0,1,3,2,1,8,4,0,2
Half Light,1,1,4,6,3,4,4,2,1,17,1,10,0,4,0,2,1,2,3,3,3,0,7
Hand/Eye Coordination,0,0,2,0,1,1,0,0,0,1,4,0,1,0,0,1,0,0,0,0,0,3,1
Inland Empire,3,7,20,0,3,5,5,9,8,9,0,45,2,8,4,1,7,5,7,10,4,7,12
Interfacing,0,6,6,1,1,2,5,1,1,0,3,6,23,7,2,5,5,0,6,3,1,1,4
Logic,4,3,5,3,3,7,6,3,6,1,0,7,6,22,3,4,9,12,2,7,4,7,12
Pain Threshold,1,1,0,0,0,1,1,7,1,4,1,3,1,0,25,1,2,0,1,1,0,3,1
Physical Instrument,1,2,5,1,2,2,0,4,3,2,0,4,11,3,2,32,1,0,5,1,2,4,4
Reaction Speed,3,1,2,1,3,2,1,0,2,1,1,5,5,11,1,0,12,8,0,2,4,1,1
Rhetoric,5,8,14,6,5,10,6,5,7,5,2,6,2,13,1,2,7,43,7,6,11,1,7
Savoir Faire,5,8,3,0,4,1,2,10,1,4,0,7,5,7,3,0,2,3,35,7,5,1,6
Shivers,1,2,1,0,0,1,4,1,1,0,1,1,0,1,1,0,0,2,0,50,2,2,0
Suggestion,3,1,6,0,2,10,2,3,5,2,1,5,2,2,1,2,2,4,1,0,8,0,2
Visual Calculus,0,1,2,0,3,2,3,2,1,2,4,4,3,7,1,0,3,1,1,14,0,34,3
Volition,6,1,3,3,5,8,2,8,2,7,2,16,4,7,3,5,6,7,4,1,12,4,32
